name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Christoffer,1638,1413,52,131,706,1615,380,437,279,35,165,6851
Christen,609,767,16,157,452,1850,1078,992,498,225,46,6690
Ali,1106,377,0,24,197,460,46,166,52,113,4054,6598
Oskar,1591,888,60,251,586,1459,605,478,208,149,284,6559
Thorkild,1009,1142,47,273,710,1740,644,530,237,107,33,6472
Charles,1490,834,138,254,477,1244,513,447,101,189,673,6360
Heinrich,1270,487,8,99,278,1110,182,329,1668,143,784,6358
Max,2044,1059,21,182,530,1218,171,364,270,95,398,6352
Eigil,1735,888,50,211,603,1538,408,555,141,87,105,6321
Stefan,1318,1237,80,133,661,1144,318,572,271,27,497,6258
Herman,1186,1320,233,383,716,945,466,385,97,191,239,6161
Bernhard,1364,997,68,327,549,982,473,486,206,117,351,5920
Sigurd,1013,826,57,151,646,1733,425,653,96,109,179,5888
Nicklas,1398,1463,51,119,354,1320,366,462,197,0,92,5823
Birger,2066,740,227,209,449,1132,372,341,110,45,128,5819
Viktor,1231,897,82,253,545,1421,353,583,121,100,197,5783
Frode,1022,742,66,269,409,1748,736,483,126,93,73,5767
Louis,2145,825,132,205,383,810,199,239,79,98,648,5763
Emanuel,1236,864,56,320,549,1015,754,355,63,140,410,5762
Lykke,943,780,24,40,547,1889,441,858,120,16,54,5712
Bruno,1289,819,37,119,387,1489,338,640,246,58,281,5703
Philip,2021,1273,64,101,324,866,152,261,180,22,418,5682
Ingemann,986,1280,36,265,410,1286,787,422,71,58,76,5677
Marcus,1562,1234,40,104,308,1341,272,387,167,19,210,5644
Carlo,1584,700,90,165,666,1249,304,437,130,107,122,5554
Olaf,1248,786,166,234,481,1412,204,281,130,150,307,5399
Troels,1088,882,43,135,465,1567,305,461,260,9,63,5278
Gunner,734,1377,10,207,804,1152,338,462,78,80,26,5268
Sven,1808,557,87,148,333,970,234,377,217,64,442,5237
Kristoffer,960,954,54,93,511,1315,338,365,137,27,450,5204
Kent,653,368,41,93,740,1656,298,759,220,14,131,4973
Arnold,787,751,29,309,457,1052,652,485,146,121,178,4967
Sofus,1069,1101,36,267,456,1035,199,220,42,189,324,4938
Mohammad,632,226,0,20,109,217,31,44,26,85,3543,4933
Nicolaj,808,816,82,101,467,1102,462,436,437,42,133,4886
Adolf,775,509,88,199,320,1001,417,412,408,174,558,4861
Ebbe,988,1268,60,244,716,695,187,282,145,48,63,4696
Herluf,356,703,114,167,467,1424,552,584,171,76,50,4664
Tonny,1654,648,55,67,358,1027,251,464,82,17,37,4660
Hugo,1249,632,30,82,215,1254,302,396,134,70,230,4594
Freddy,1355,581,46,177,352,1078,211,497,130,46,53,4526
Rudolf,960,558,72,249,285,932,270,379,209,145,432,4491
Arthur,1088,411,31,201,420,830,325,357,269,143,386,4461
Mike,715,779,21,195,452,1030,219,507,300,0,177,4396
Oscar,1549,685,34,80,332,774,268,183,75,97,275,4352
Werner,1536,514,59,103,215,601,152,162,383,51,400,4176
Lucas,1278,962,31,89,332,823,143,272,116,0,124,4172
Uffe,886,760,32,107,438,1066,231,398,139,17,34,4108
Jes,555,447,19,67,258,894,149,448,1098,71,66,4072
Jimmy,1261,747,34,111,310,832,162,348,88,9,100,4002
Frits,770,603,36,150,416,1173,340,268,48,71,99,3974
Jonathan,1206,658,29,35,242,741,119,146,70,6,707,3959
Sten,1037,695,44,118,322,840,217,275,156,15,148,3867
Laurids,159,218,0,44,192,832,220,1711,363,89,20,3850
Mohamed,493,121,0,13,84,308,19,58,23,92,2638,3849
Helmer,936,1013,54,377,302,507,313,180,45,62,59,3848
Esben,655,498,23,55,267,1261,323,455,237,9,60,3843
Villiam,766,665,99,137,374,858,255,455,23,100,98,3830
Einar,1365,430,28,112,351,656,198,151,60,139,294,3784
Adam,1263,436,13,45,214,416,60,103,40,32,1084,3706
Thor,1044,649,112,110,310,732,142,188,131,18,267,3703
Hartvig,696,737,32,206,340,807,307,349,95,52,42,3663
Wilhelm,851,235,21,58,143,332,75,80,889,100,863,3647
Asbjørn,752,496,44,46,207,1096,383,343,129,14,123,3633
Helmuth,1254,594,45,188,539,355,90,94,226,63,70,3518
Sigfred,457,541,75,138,282,1194,137,531,43,68,38,3504
Jon,1048,632,32,100,272,660,135,159,105,16,333,3492
Sune,813,573,40,68,352,755,145,292,219,0,128,3387
Juel,733,659,31,58,456,818,218,233,49,34,51,3340
Bendt,762,643,22,81,515,553,144,253,61,41,261,3336
Hermann,446,404,23,97,187,601,232,174,550,87,524,3325
Ahmad,349,252,0,12,131,272,24,21,51,45,2155,3313
Richardt,738,595,21,50,322,783,270,349,39,61,49,3277
Elias,664,401,21,41,172,496,127,342,56,48,891,3259
Gerhard,781,431,16,91,320,517,216,159,256,71,364,3222
Povl,853,627,99,200,384,385,259,143,191,54,24,3219
Bjarke,672,412,36,54,257,866,197,451,184,7,56,3192
Joachim,809,674,29,77,277,599,137,203,120,12,254,3191
Martinus,243,149,0,20,133,1322,776,359,44,85,46,3180
Ingvard,277,178,36,87,432,1092,384,464,110,78,28,3166
Lukas,885,643,28,54,251,657,89,194,110,0,250,3164
Tim,1008,883,45,69,181,504,106,98,132,0,120,3149
Hjalmar,930,525,66,201,305,440,183,147,39,119,153,3108
Walther,1122,440,23,90,318,652,110,83,117,43,105,3103
Erland,657,554,37,277,370,586,242,183,48,45,46,3045
Lauritz,922,489,9,66,217,424,90,75,393,132,224,3041
Ejgil,473,531,33,157,290,823,288,309,80,46,0,3031
