name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Aabling,0,0,0,0,0,5,0,0,19,0,0,32
Skelmose,0,0,0,0,0,0,0,27,0,0,0,32
Dammark,0,0,0,0,0,0,0,26,0,0,0,32
Borst,0,0,0,0,0,0,0,6,15,0,0,32
Ohlsen,0,0,0,0,0,0,0,0,20,0,0,32
Alwan,0,0,0,0,0,0,0,0,0,7,22,32
Bergstein,26,0,0,0,0,0,0,0,0,0,0,31
Ejlstrup,26,0,0,0,0,0,0,0,0,0,0,31
Tilgreen,24,7,0,0,0,0,0,0,0,0,0,31
Büchmann,23,0,0,0,0,0,0,0,0,0,0,31
Lysell,23,0,0,0,0,0,0,0,0,0,0,31
Blangstrup,21,0,0,0,0,0,0,0,0,0,0,31
Stilund,20,0,0,0,5,0,0,0,0,0,0,31
Wessmann,20,0,0,0,0,0,0,0,0,0,0,31
Heckmann,19,8,0,0,0,0,0,0,0,0,0,31
Brangstrup,18,11,0,0,0,0,0,0,0,0,0,31
Wienmann,18,11,0,0,0,0,0,0,0,0,0,31
Molberg,18,0,0,0,0,9,0,0,0,0,0,31
Bernholdt,17,9,0,0,0,0,0,0,0,0,0,31
Bahrt,16,6,0,0,0,0,0,0,0,0,0,31
Francke,16,7,0,0,0,0,0,0,0,0,0,31
Bothoft,16,9,0,0,0,0,0,0,0,0,0,31
Vestberg,16,0,0,0,0,8,0,0,0,0,0,31
Ørslev,15,0,0,0,0,7,0,0,0,0,0,31
Drewes,14,9,0,0,0,5,0,0,0,0,0,31
Vendrup,14,12,0,0,0,0,0,0,0,0,0,31
Sejberg,13,5,0,0,0,7,0,0,0,0,0,31
Gebhard,13,7,0,5,0,0,0,0,0,0,0,31
Benedictus,13,0,0,0,0,0,0,6,0,0,0,31
Kjærbo,12,9,0,0,5,0,0,0,0,0,0,31
Sklander,12,14,0,5,0,0,0,0,0,0,0,31
Elsgaard,12,12,0,0,0,0,0,5,0,0,0,31
Bohnstedt,11,0,0,0,0,14,0,5,0,0,0,31
Visborg,11,0,0,0,0,15,0,0,0,0,0,31
Kaihøj,11,0,0,0,0,17,0,0,0,0,0,31
Sonberg,11,10,0,0,0,0,0,0,0,0,0,31
Vinggaard,11,0,0,0,0,8,0,0,0,0,0,31
Gotthelf,11,5,0,0,8,0,0,0,0,0,0,31
Norsk,11,0,0,0,0,0,9,0,0,0,0,31
Spanner,10,0,10,0,0,5,0,0,0,0,0,31
Bengtsen,10,0,5,0,0,6,0,0,0,0,0,31
Wollenberg,10,0,0,0,6,5,0,0,0,0,0,31
Nisted,10,0,0,0,9,0,0,0,0,0,0,31
Wihlborg,10,8,0,6,0,0,0,0,0,0,0,31
Herlin,10,8,0,0,0,5,0,0,0,0,0,31
Møllevang,9,11,0,0,0,7,0,0,0,0,0,31
Weimar,9,6,0,0,0,13,0,0,0,0,0,31
Stillhoff,8,19,0,0,0,0,0,0,0,0,0,31
Veibel,8,0,0,0,0,19,0,0,0,0,0,31
Faldt,8,0,0,0,0,0,11,0,0,0,0,31
Bavngaard,8,7,0,0,6,9,0,0,0,0,0,31
Voller,8,0,0,0,6,7,0,0,0,0,0,31
Gormsen,7,0,0,0,9,0,0,0,6,0,0,31
Siegumfeldt,7,0,0,0,0,9,0,7,0,0,0,31
Schollert,7,0,0,0,0,0,0,12,0,0,0,31
Aslam,7,0,0,0,0,0,0,0,0,0,24,31
Ejdrup,7,9,0,0,6,9,0,0,0,0,0,31
Nogel,7,7,0,0,12,0,0,0,0,0,0,31
Eddine,7,0,0,0,0,0,0,0,0,0,22,31
Altenburg,7,7,0,0,0,5,0,6,0,0,0,31
Kling,6,0,0,0,5,0,0,0,11,0,0,31
Lykkeby,6,7,0,7,7,0,0,0,0,0,0,31
Sømod,6,13,0,0,0,6,0,0,0,0,0,31
Kobber,6,0,0,0,0,10,11,0,0,0,0,31
Witzel,6,9,0,0,8,8,0,0,0,0,0,31
Kjæhr,6,5,0,0,0,0,9,9,0,0,0,31
Eland,6,0,0,0,0,12,0,9,0,0,0,31
Bylow,5,10,0,0,0,0,0,0,0,0,0,31
Bukholt,5,0,0,0,0,0,6,14,0,0,0,31
Wridt,5,7,6,0,0,5,0,0,0,0,0,31
Hjortdal,5,0,0,0,0,12,8,0,0,0,0,31
Eghave,5,22,0,0,0,0,0,0,0,0,0,31
Denker,5,7,0,0,0,16,0,0,0,0,0,31
Enemærke,5,0,0,0,6,20,0,0,0,0,0,31
Rygård,5,0,0,7,0,9,0,0,0,0,0,31
Solsø,5,0,0,0,0,0,0,18,0,0,0,31
Clasen,5,5,0,0,0,0,0,0,0,0,17,31
Vindal,5,10,0,0,0,11,0,0,0,0,0,31
Jessing,5,0,0,0,0,7,0,11,0,0,0,31
Skousen,5,0,0,0,0,21,0,0,0,0,0,31
Folmand,5,0,0,19,0,0,0,0,0,0,0,31
Sall,5,5,0,0,5,16,0,0,0,0,0,31
Køltzen,0,28,0,0,0,0,0,0,0,0,0,31
Pristed,0,20,0,0,0,0,0,0,0,0,0,31
Kousted,0,14,0,0,0,10,0,0,0,0,0,31
Vestervang,0,13,0,0,5,6,0,0,0,0,0,31
Blücher,0,13,0,0,0,7,0,7,0,0,0,31
Egbert,0,13,0,0,0,0,0,0,0,0,11,31
Kragskov,0,10,0,0,0,0,9,0,0,0,0,31
Stark,0,10,0,0,0,9,0,0,0,0,0,31
Tindahl,0,9,0,0,0,20,0,0,0,0,0,31
Hinze,0,8,0,0,0,0,0,6,9,0,0,31
Thinggård,0,7,0,0,8,0,10,0,0,0,0,31
Skovslund,0,5,0,0,0,20,0,0,0,0,0,31
Mattrup,0,5,0,0,5,0,0,16,0,0,0,31
Hulegaard,0,5,0,0,8,10,0,0,0,0,0,31
Nelleborg,0,0,0,0,28,0,0,0,0,0,0,31
Angelbo,0,0,0,0,28,0,0,0,0,0,0,31
Kortermann,0,0,0,0,24,0,0,0,0,0,0,31
Gangelhoff,0,0,0,0,23,0,0,0,0,0,0,31
Brunebjerg,0,0,0,0,19,0,0,7,0,0,0,31
Büttner,0,0,0,0,19,8,0,0,0,0,0,31
Rosander,0,0,0,0,16,0,10,0,0,0,0,31
Pahuus,0,0,0,0,16,0,0,6,0,0,0,31
Gerster,0,0,0,0,11,6,0,5,0,0,0,31
Nagstrup,0,0,0,0,9,0,0,12,0,0,0,31
Skibdal,0,0,0,0,9,13,0,0,0,0,0,31
Bøllingtoft,0,0,0,0,9,8,0,0,0,0,0,31
Lindequist,0,0,0,0,7,14,6,0,0,0,0,31
Værnholt,0,0,0,0,0,30,0,0,0,0,0,31
Brokær,0,0,0,0,0,27,0,0,0,0,0,31
Skjoldbjerg,0,0,0,0,0,27,0,0,0,0,0,31
Brejnbjerg,0,0,0,0,0,24,0,0,0,0,0,31
Døhr,0,0,0,0,0,24,0,5,0,0,0,31
Bolther,0,0,0,0,0,24,0,0,0,0,0,31
